1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
419	"A találkozás elkerülése érdekében az illetékes hatóság melyik jelzésekkel tiltja, illetve engedélyezi a váltakozó irányú áthaladást?"	1.	2.	3.	xxx-4188.jpg	1
420	Kishajóval hajózik. Mit jelentenek az ábrán látható jelzések?	"Fokozott el?vigyázat, az áthaladás során kishajók kivételével tilos a találkozás és az el?zés!"	"Fokozott el?vigyázat, kishajók kivételével tilos az áthaladás!"	"Fokozott el?vigyázat, találkozási és el?zési tilalom a jelzett szakaszon, jelenleg tilos az áthaladás!"	xxx-4003.jpg	3
421	"A találkozás elkerülésére váltakozó irányú áthaladást van el?írva a víziút jelzett szakaszán. Mi tesz, ha a jelz?állomás nem mutatja az el?írt (az áthaladást tiltó vagy engedélyez?) jelzéseket?"	"A jelzés hiánya azt jelenti, hogy a szakaszon szabadon át lehet hajózni."	"Jelzés hiányában a hajónak meg kell állni, és várni kell az illetékes hatóság rádiótelefonon vagy jelzésekkel adott engedélyét."	Jelzés hiányában csökkentetett sebességgel szabad csak továbbhajózni.	xxx-4005.jpg	2
422	Mikor kezdhet? meg az el?zés?	Ha az el?zött belegyezett.	Ha az el?z? meggy?z?dött az el?zés veszélytelenségér?l.	Ha nem közeledik ellenkez? irányból hajó vagy kötelék.		2
423	Milyen el?írás vonatkozik az el?zésre az alábbiak közül a Szabályzat I. része alapján?	Az el?zést minden esetben az el?zött jobb oldalán kell végrehajtani.	"Csak azon az oldalon szabad el?zni, amelyik oldalon azt az utolért hajó engedélyezte."	Az el?zést végz? hajó általában az el?zött hajó bal oldala fel?l köteles elhaladni.		3
424	"Kishajóval két kishajónak nem tekinthet? hajóval azonos irányban halad. Mire kell számítania, ha az Ön el?tti el?zni fogja a másikat? Az el?zést végz? hajó"	minden esetben az el?zött jobb oldala fel?l köteles elhaladni.	általában az el?zött hajó bal oldala fel?l köteles elhaladni.	"bármelyik oldalról el?zhet de csak akkor, ha azt az utolért hajó engedélyezte."	xxx-4191.jpg	2
425	"Két kishajónak nem tekinthet? hajóval azonos irányban halad. Mire számíthat, ha az Ön el?tti el?zni fogja a másikat? Ha az el?zéssel összefüggésben nem merül fel az összeütközés veszélye,"	az el?z? hajó akkor is csak az el?zött bal oldala fel?l köteles végrehajtani az el?zést.	"az el?z? hajó bármelyik oldalról el?zhet de csak akkor, ha azt az utolért hajó engedélyezte."	az el?z? hajó az el?zött hajó jobb oldala fel?l is elhaladhat.	xxx-4020.jpg	3
426	"Két vitorlás hajóval azonos irányban halad. Mire számíthat, ha az Ön el?tti el?zni fogja a másikat? Ha vitorlás hajó másik vitorlás hajót el?z, az el?z? hajónak általában"	"az el?zött hajó mellett szél fel?li oldalon kell elhaladnia kivéve, ha a vitorlás kishajót más fajtájú vitorlás hajó el?zi."	"az el?zött hajó mellett szél alatti oldalon kell elhaladnia kivéve, ha a vitorlás kishajót más fajtájú vitorlás hajó el?zi."	"az el?zött hajó mellett szél alatti oldalon kell elhaladnia kivéve, ha a vitorlás kishajó más fajtájú vitorlás hajót el?zi."	xxx-4021.jpg	1
427	"Azonos irányban halad két hajóval. Mire számíthat, ha az Ön el?tti vitorlás el?zni fogja az el?tte lév? nem vitorlást? Ha valamely hajót vitorlás hajó el?z, az el?zött hajó"	"köteles megkönnyíteni az el?z? vitorlásnak a szél fel?li oldalon történ? elhaladását kivéve, ha kishajó más hajót el?z."	"köteles megkönnyíteni az el?z? vitorlásnak a szél alatti oldalon történ? elhaladását kivéve, ha kishajót más hajó el?zi."	"köteles megkönnyíteni az el?z? vitorlásnak a szél alatti oldalon történ? elhaladását kivéve, ha kishajó más hajót el?z."	xxx-4022.jpg	1
428	Kishajóval megel?zheti-e a tábla hatálya alá tartozó víziút-szakaszon az Ön el?tt haladó kishajónak nem tekinthet? köteléket?	"Igen, mivel a tábla csak magányos hajók egymás közötti el?zését tiltja, kötelék el?zését nem."	"Igen, mivel a tábla csak kishajónak nem tekinthet? hajók egymás közötti el?zését tiltja."	"Nem, mivel a tábla általános el?zési tilalmat jelent!"	xxx-4024.jpg	3
429	Magányosan haladó kishajóval megel?zheti-e a tábla hatálya alá tartozó víziút szakaszon az Ön el?tt haladó kishajónak nem tekinthet? hajót?	"Igen, mivel a tábla a kötelék egymás közötti el?zését tiltja."	"Igen, mivel a gépi er?vel haladó kishajóra a tábla nem jelent el?zési tilalmat."	"Nem, mivel a tábla általános el?zési tilalmat jelent!"	xxx-4026.jpg	1
430	Alkalmazandók-e a keresztezés szabályai a forduláskor?	"Igen, kivéve a kijelölt fordítóhelyen."	Nem.	"Igen, és a völgymenetb?l hegymenetbe forduló hajó min?sül keresztez?nek."		2
431	Milyen f? szabály vonatkozik a kishajó megfordulására?	Bármikor megfordulhat.	"Csak akkor fordulhat meg, ha meggy?z?dött arról, hogy más hajók sebessége lehet?vé teszi, és más hajó nem kényszerül menetiránya megváltoztatására."	"Csak akkor fordulhat meg, ha meggy?z?dött arról, hogy más hajók mozgása ezt veszély nélkül lehet?vé teszi, és más hajó nem kényszerül menetiránya és sebessége hirtelen megváltoztatására."	xxx-4045.jpg	3
432	Kishajóval hegymenetben hajózva észleli egy másik kishajó fordulási szándékát. Mit kell tennie?	Ha szükséges és lehetséges sebesség és irányváltoztatással el? kell segíteni különösen a hegymenetbe fordulni szándékozó kishajót a fordulás végrehajtásában.	Sebesség és/vagy irányváltoztatás nélkül kell tovább hajóznia.	"Ha ez szükségessel, megállással kell biztosítania a fordulás végrehajtását."	xxx-4046.jpg	1
433	Fordulhat-e kishajójával a víziút táblával megjelölt szakaszán?	"Nem, mivel a víziút táblával megjelölt szakaszán kishajónak is tilos megfordulni!"	"Igen, mivel a tábla kizárólag kishajónak nem tekinthet? hajók fordulását tiltja."	"Magányosan haladó kishajóval igen, míg kizárólag kishajókból álló kötelékkel nem."	teszt-0175.jpg	1
434	A keresztezésre vonatkozó szabályokat kell-e alkalmazni a hajó elindulásakor?	Nem.	"Igen, induláskor a keresztezésre vonatkozó el?írások szerint kell eljárni."	"Nem, induláskor a kiköt?b?l történ? kihajózásra vonatkozó el?írások szerint kell eljárni."		1
435	"Milyen f? szabály vonatkozik a kishajó indulására? Kishajó akkor indulhat el, ha"	"meggy?z?dött arról, hogy a forgalmi helyzet ezt veszély nélkül lehet?vé teszi még akkor is ha ezzel mások menetirányuk vagy sebességük megváltoztatására kényszerülnek."	elegend?en nagy hely áll rendelkezésre az indulás végrehajtására.	"meggy?z?dött arról, hogy más hajók mozgása ezt veszély nélkül lehet?vé teszi és más hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."		3
436	Kishajóval észleli egy másik kishajó indulási szándékát. Mit kell tennie?	Sebesség és/vagy irányváltoztatás nélkül kell tovább hajózni.	"Ha ez szükségessel, megállással kell biztosítani az indulás végrehajtását."	Ha szükséges és lehetséges sebesség és irányváltoztatással el? kell segíteni az indulás végrehajtásában.	xxx-4066.jpg	3
437	"Milyen f? szabály vonatkozik kiköt?be, mellékvíziútba történ? be- és onnan történ? kihajózásra? Hajó akkor hajózhat be vagy hajózhat ki és térhet rá a f? víziútra, illetve keresztezheti azt, ha"	"meggy?z?dött arról, hogy ez a m?velet biztonságosan elvégezhet?, és más hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	"a m?veletet azt más hajók el?segítik még akkor is, ha azzal menetirányuk és sebességük hirtelen megváltoztatására kényszerülnek."	"meggy?z?dött arról, hogy onnan nincs ki-, vagy oda behajózó hajó."		1
438	Mikor hajózhat be a kishajó a kiköt?be?	A kormányképesség meg?rzéséhez szükséges minimális sebességgel és a hullámkeltés elkerülésével.	"A lehet? legkisebb sebességgel és a lehet? legnagyobb oldaltávolság tartásával a partoldaltól úgy, hogy más hajók sérülése megel?zhet? legyen."	"Ha a m?velet biztonságosan elvégezhet?, és más hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	xxx-4069.jpg	3
439	"Hegymenetben haladó kishajóval egy mellékvíziútba szeretne behajózni, amikor észleli az oda szintén behajózni kívánó kishajónak nem tekinthet? hajót. Mikor hajózhat be?"	"Érkezési sorrendben, mivel kiköt?be/mellékvíziútba történ? behajózáskor a kishajó megkövetelheti, hogy a kishajónak nem tekinthet? hajó javára kitérjen."	Hegymenetben haladóként én hajózhatók be els?ként.	"A kishajónak nem tekinthet? hajó után, ha a m?velet biztonságosan elvégezhet? és a kishajónak nem tekinthet? hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	xxx-4076.jpg	3
440	"Kishajóval egy kiköt?be szeretne behajózni, amikor észleli az oda szintén behajózni kívánó kishajónak nem tekinthet? hajót. Mikor hajózhat be?"	"Érkezési sorrendben, mivel kiköt?be/mellékvíziútba történ? behajózáskor a kishajó megkövetelheti, hogy a kishajónak nem tekinthet? hajó javára kitérjen."	"A kishajónak nem tekinthet? hajó után, ha a m?velet biztonságosan elvégezhet? és a kishajónak nem tekinthet? hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	"Ha a m?velet biztonságosan elvégezhet? még akkor is, ha más kishajó menetiránya vagy sebessége megváltoztatására kényszerül."	xxx-4078.jpg	2
441	"Egy hegymenetben és egy völgymenetben haladó kishajó közül melyik hajózhat els?ként a mellékvíziútba, ha a völgymenetben haladónak a behajózás el?tt hegymenetbe kell fordulnia? Els?ként"	a hegymenetben haladó hajózhat be.	a völgymenetben haladó hajózhat be.	a gyorsabban haladó hajózhat be.	xxx-4074.jpg	1
442	"Kishajóval egy mellékvíziútba szeretne behajózni, amikor észleli az onnan kihajózni kívánó kishajónak nem tekinthet? hajót. Mikor hajózhat be?"	Mellékvíziútba behajózóként a kishajó els?bbséget élvez az onnan kihajózó hajóval szemben még akkor is ha az nem kishajó.	Ha más mellékvíziútba behajózó hajó a kishajó kivételével nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.	"Ha a m?velet biztonságosan elvégezhet?, és a kihajózó kishajónak nem tekinthet? hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	xxx-4082.jpg	3
443	"Kishajóval egy kiköt?be szeretne behajózni, amikor észleli az onnan kihajózni kívánó kishajónak nem tekinthet? hajót. Mikor hajózhat be?"	Kiköt?be behajózóként a kishajó els?bbséget élvez az onnan kihajózó hajóval szemben még akkor is ha az nem kishajó.	"Ha a m?velet biztonságosan elvégezhet?, és a kihajózó kishajónak nem tekinthet? hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	Ha más kiköt?be behajózó hajó a kishajó kivételével nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.	xxx-2320.jpg	2
444	"Kishajóval egy mellékvíziútból szeretne kihajózni, amikor észleli az oda behajózni kívánó kishajónak nem tekinthet? hajót. Mikor hajózhat ki?"	Mellékvíziútból kihajózó kishajóként els?bbséget élvezek az oda behajózó hajóval szemben még akkor is ha az nem kishajó.	"Vissza kell fordulnom és csak akkor hajózhatok ki, ha a kishajónak nem tekinthet? hajó már behajózott a mellékvíziútba."	"Ha a m?velet biztonságosan elvégezhet?, és a behajózó kishajónak nem tekinthet? hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	xxx-4084.jpg	3
445	"Kishajóval egy kiköt?b?l szeretne kihajózni, amikor észleli az oda behajózni kívánó kishajónak nem tekinthet? hajót. Mikor hajózhat ki?"	"Ha a m?velet biztonságosan elvégezhet?, és a behajózó kishajónak nem tekinthet? hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására."	Kiköt?b?l kihajózó kishajóként els?bbséget élvezek az oda behajózó hajóval szemben még akkor is ha az nem kishajó.	"Vissza kell fordulnom és csak akkor hajózhatok ki, ha a kishajónak nem tekinthet? hajó már behajózott a kiköt?be."	xxx-2360.jpg	1
446	"Kishajóval észleli a mellékágból kihajózó kishajót. Mit kell tennie? A f? víziúton haladó kishajóként,"	"els?bbséget élvezek, ezért köteles vagyok menetirányomat és sebességemet megtartani."	"ha az szükséges, köteles vagyok menetirányomat vagy sebességemet megváltoztatni a kihajózás el?segítése érdekében."	"ha az szükséges, köteles vagyok haladéktalanul völgymenetbe fordulni, így biztosítva a kihajózó m?veletezését."	xxx-4120.jpg	2
447	"Kishajóval kihajózhat-e a táblával jelzett kiköt?b?l/mellékvíziútból, ha kihajózásával a f? víziúton haladó kishajót menetirányának vagy sebességének megváltoztatására kényszerítene?"	"Igen, mivel a tábla kishajó kihajózására nem jelent korlátozást."	"Nem, csak abban az esetben lehet rátérni a f? víziútra, ha azzal az ott haladó kishajó nem kényszerül menetiránya vagy sebessége megváltoztatására!"	"Nem, mivel a tábla kötelez? megállást jelent, ha a f? víziút 500 méteres szakaszán más hajó halad."	xxx-4129.jpg	2
448	Milyen kitérési kötelezettséget határoz meg a Szabályzat az alábbiak közül? Találkozáskor és keresztezéskor	a hajók kötelesek utat engedni m?veletképességében korlátozott hajónak és a halászattal foglalkozó hajónak.	a m?veletképességében korlátozott hajó köteles a halászattal foglalkozó hajónak utat engedni.	a hajók kötelesek utat engedni a víziútban munkát végz? hajónak és a m?veletképességében korlátozott hajónak.		1
449	Milyen kitérési kötelezettséget határoz meg a Szabályzat az alábbiak közül? Találkozáskor és keresztezéskor	a halászattal foglalkozó hajónak a többi hajó - a m?veletképességében korlátozott hajó kivételével - köteles utat engedni.	a halászattal foglalkozó hajó köteles a többi hajónak utat engedni.	a gyorsjáratú hajónak a többi hajó köteles utat engedni.		1
450	Hogyan kell kishajó és kishajónak nem tekinthet? hajó találkozását végrehajtani?	"Mindkét hajónak jobbra kell tartania úgy, hogy az elhaladás a bal oldaluk fel?l történjen."	"Mindkett?nknek balra kell tartania úgy, hogy az elhaladás a jobb oldalunk fel?l történjen."	"A kishajónak biztosítania kell a kishajónak nem tekinthet? hajó menetirányának megtartásához és m?veleti végzéséhez szükséges teret, kishajó nem követelheti, hogy az neki kitérjenek."		3
451	Kisgéphajóval észleli az ellentétes irányból közeled? kishajónak nem tekinthet? sárga kett?s kúpot és egy csúcsával lefelé néz? fekete kúpot visel? hajót. Hogyan kell a találkozást végrehajtani?	"Mindkett?nknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk fel?l történjen."	"Mindkett?nknek balra kell tartania úgy, hogy az elhaladás a jobb oldalunk fel?l történjen."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	xxx-2640.jpg	3
452	"Evez?vel hajtott haladó kishajóval észleli az ellentétes irányból közeled? kishajónak nem tekinthet? olyan hajót, amely gépi er?vel halad. Hogyan kell a találkozást végrehajtani?"	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	"Mindkett?nknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk fel?l történjen."	"Neki kell kitérnie, mivel a kiköt? vízterületén, illetve a bejáratban vagy annak 200 m körzetén túl a kishajónak nem tekinthet? hajónak ki kell térnie a kishajó útjából."	xxx-2467.jpg	1
453	Vitorlás kishajóval észleli az ellentétes irányból közeled? kishajónak nem tekinthet? géphajót. Hogyan kell a találkozást végrehajtani?	"Mindkett?nknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk fel?l történjen."	"Neki kell kitérnie, mivel a géphajónak ki kell térnie a vitorlás hajó útjából."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	xxx-2262.jpg	3
454	Vitorlás kishajóval baloldali széllel hajózva észleli az ellentétes irányból közeled? kishajónak nem tekinthet? vitorlás hajót. Hogyan kell a találkozást végrehajtani?	"Nekem kell kitérnem, mivel a baloldali széllel vitorlázónak ki kell térnie a jobboldali széllel vitorlázó útjából."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	"Neki kell kitérnie, mivel a jobboldali széllel vitorlázónak ki kell térnie a baloldali széllel vitorlázó útjából."	xxx-2657.jpg	2
455	"Kisgéphajóval egy tavi kiköt?b?l hajózik ki, amikor észleli az ellentétes irányból közeled? kishajónak nem tekinthet? géphajót. Hogyan kell a találkozást végrehajtani?"	"Kiköt?be behajózóként neki kell kitérnie vagy meg kell állnia, hogy biztosítsa a kiköt?b?l kihajózó zavartalan útját."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	"A kiköt? vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkett?nknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk fel?l történjen."	teszt-2026.jpg	2
456	"Kisgéphajóval tavi kiköt?b?l kihajózva észleli az ellentétes irányból közeled? kishajónak nem tekinthet? olyan hajót, amely gépi er?vel halad. Hogyan kell a találkozást végrehajtani?"	"Kiköt?b?l kihajózóként nekem kell kitérnem vagy megállnom, hogy biztosítsam a kiköt?be behajózó zavartalan útját."	"A kiköt? vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkett?nknek balra kell tartania úgy, hogy az elhaladás a jobb oldalunk fel?l történjen."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	teszt-2030.jpg	3
457	Evez?vel hajtott kishajóval tavi kiköt?be behajózva észleli a kishajónak nem tekinthet? gépi er?vel haladó hajót. Hogyan kell a találkozást végrehajtani?	"A kiköt? vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül a géphajónak ki kell térnie az evez?vel haladó hajó útjából."	"A kiköt? vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkett?nknek balra kell tartania úgy, hogy az elhaladás bal oldalunk fel?l történjen."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	teszt-2068.jpg	3
458	Evez?vel hajtott kishajóval tavi kiköt?be behajózva észleli a csúcsával fekete kúpot visel? kishajónak nem tekinthet? hajót. Hogyan kell a találkozást végrehajtani?	"Kiköt?b?l kihajózóként neki kell kitérnie vagy meg kell állnia, hogy biztosítsa a kiköt?be behajózó zavartalan útját."	"A kiköt? vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkett?nknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk fel?l történjen."	"Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthet? hajó útjából."	teszt-2071.jpg	3
459	Mit értünk az éjszaka fogalmán a víziközlekedésben?	A sötétedés és a világosodás közti id?szakot.	A szürkület és a hajnal között id?szakot.	A napnyugta és a napkelte közötti id?szakot.		3
460	Mit értünk a nappal fogalmán a víziközlekedésben?	A hajnal és a szürkület közötti id?szakot.	A napkelte és a napnyugta közötti id?szakot.	A világosodás és a sötétedés közötti id?szakot.		2
461	Mit értünk villanó fényen a víziközlekedésben?	"Olyan fény, amelynél a ritmikus villanás percenként 40-60."	"Olyan fény, amelynél a ritmikus villanás percenként több mint 60-80."	"Olyan fény, amelynél a ritmikus villanás percenként 100-120"		1
462	Mit értünk gyors villanó fényen a víziközlekedésben?	"Olyan fény, amelynél a ritmikus villanás percenként nem több mint 40-60."	"Olyan fény, amelynél a ritmikus villanás percenként 100-120."	"Olyan fény, amelynél a ritmikus villanás percenként legfeljebb 60-80."		2
463	Milyen azonosító jelet kell viselnie egy nyilvántartásra kötelezett kishajónak?	A hivatalos nyilvántartási jelét köteles viselni.	A nyilvántartási számát és a nyilvántartás helye szerinti ország bet?jelét köteles viselni.	"A kishajónak nincs hivatalos nyilvántartási jel, ezért csak a nevét köteles viselni."		1
464	Milyen el?írás vonatkozik a nyilvántartásra kötelezett kishajó hivatalos azonosító jelére?	"A hivatalos nyilvántartási jelét köteles viselni, jól olvasható és letörölhetetlen módon."	A tulajdonos nevét köteles viselni mindkét oldalán és a farrészen.	"A tulajdonos lakhelye szerinti ország bet?jelét vagy jeleit, és az anyakiköt? nevét köteles mindkét oldalán feltüntetni eltávolíthatatlan módon."		1
465	Milyen el?írás vonatkozik a kishajó hivatalos nyilvántartási jelének feltüntetésére?	"Jól olvashatónak, letörölhetetlennek kell lennie, legalább 20 cm magas latin bet?kkel feltüntetve."	"Jól olvashatónak, letörölhetetlennek kell lennie, legalább 10 cm magas latin bet?kkel feltüntetve."	"Jól olvashatónak, letörölhetetlennek kell lennie, legalább 10 cm magas, a nemzeti ABC bet?ivel feltüntetve."		2
466	"Kishajónak kell-e rendelkeznie merülési mércével, ha annak merülése meghaladja az 1 métert?"	"Igen, minden olyan hajónak, amelynek merülése eléri az 1 métert rendelkeznie kell merülési mércével."	"Nem, a merülési mérce kishajókon nem el?írás még akkor sem, ha annak merülése eléri az 1 métert."	"Csak abban az esetben, ha merülése eléri az 1,5 métert."		2
467	A hajózásban mikor kell alkalmazni az éjszakára el?írt jelzéseket?	"Éjszaka (napnyugtától napkeltéig) valamint nappal, ha azt a látási viszonyok megkövetelik."	Kizárólag éjszaka (napnyugta és napkelte) között.	"Napszaktól függetlenül abban az esetben, ha a látótávolság 500 méter alá csökken."		1
468	Mit tekintünk minden oldalról látható fénynek a hajózásban?	Ha felülr?l is látható a fény.	360 fok látószögben megszakítás nélkül kibocsátott fényt.	Ha a fény folyamatosan világít.		2
469	Melyek a kisgéphajó árbocfényének jellemz?i?	"Látószöge 225 fok, folyamatosan világító, közepesen er?s fehér fény, amely a hajó orra fel?l nézve a bordasíktól hátrafelé mindkét oldalon legfeljebb 22 fok 30 percig látható."	"180 fokos látószög?, folytonos, szokásos er?sség? fehér fény, amely a hajó orra fel?l a középsíkra mer?leges síkig látható."	"112 fok  30 perces látószög?, folytonos, közepesen er?s fehér fény, amely a hajó orra fel?l a középsíkra mer?leges síktól el?re 56 fok  15 percig látható."	xxx-3548.jpg	1
470	Melyek a kisgéphajó jobb oldali oldalfényének jellemz?i?	"Közepesen er?s vagy szokásos er?sség? zöld fény, amely 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé 32 fok 30 percig látható."	"Gyenge zöld fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 22 fok 30 percig látható."	"Közepesen er?s vagy szokásos er?sség? zöld fény, amely folyamatosan világító, 112 fok 30 perc látószög?, a hajó orra fel?l nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható."		3
471	Melyek a kisgéphajó bal oldali oldalfényének jellemz?i?	"Er?s vörös fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 32 fok 30 percig látható."	"Gyenge vörös fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 18 fok 30 percig látható."	"Közepesen er?s vagy szokásos er?sség? vörös fény, amely folyamatosan világító, 112 fok 30 perc látószög?, a hajó orra fel?l nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható."		3
472	Melyek a kisgéphajó farfényének jellemz?i?	"Közepesen er?s fehér fény, folytonos, 135 fok  látószög?, a hajó fara fel?l mindkét oldal felé 67 fok 30 percig látható."	"Er?s vagy szokásos fehér fény, folyamatosan világító, 135 fok  látószög? a hajó fara fel?l nézve mindkét oldal felé 67 fok 30 percig látható."	"Gyenge fehér vagy sárga fény, folytonos, 135 fok  látószög?, a hajó fara fel?l mindkét oldal felé 67 fok 30 percig látható."	xxx-3554.jpg	2
473	Melyek a vitorlás kishajó bal oldali oldalfényének jellemz?i?	"Er?s vörös fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 32 fok 30 percig látható."	"Közepesen er?s vagy szokásos er?sség? vörös fény, amely folyamatosan világító, 112 fok 30 perc látószög?, a hajó orra fel?l nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható."	"Gyenge vörös fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 18 fok 30 percig látható."	xxx-3556.jpg	2
474	Melyek a vitorlás kishajó jobb oldali oldalfényének jellemz?i?	"Közepesen er?s zöld fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 32 fok 30 percig látható"	"Közepesen er?s vagy szokásos er?sség? zöld fény, amely folyamatosan világító, 112 fok 30 perc látószög?, a hajó orra fel?l nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható."	"Szokásos er?sség? zöld fény, amely folytonos, 112 fok 30 perc látószög?, a hajó orra fel?l a középsíkra mer?leges síktól hátrafelé legfeljebb 18 fok 30 percig látható."	xxx-3556.jpg	2
475	Melyek a vitorlás kishajó farfényének jellemz?i?	"Er?s vagy szokásos fehér fény, folyamatosan világító, 135 fok  látószög? a hajó fara fel?l nézve mindkét oldal felé 67 fok 30 percig látható."	"Gyenge fehér vagy sárga fény, folytonos, 135 fok  látószög?, a hajó fara fel?l mindkét oldal felé 67 fok 30 percig látható."	"Közepesen er?s fehér fény, folytonos, 135 fok  látószög?, a hajó fara fel?l mindkét oldal felé 67 fok 30 percig látható."	xxx-3558.jpg	1
476	"Kishajón alkalmazható-e a Szabályzatban nem említett világító berendezés, fényszóró?"	"Igen, de csak olyan helyen, ahol személyek tartózkodnak, a kishajó fedélzetén nem."	"Nem, kishajón kizárólag a Szabályzatban el?írt vagy annak/azok helyettesítésére szolgáló jelz?fény alkalmazható."	"Igen, de csak olyat és úgy, hogy azt ne lehessen Szabályzatban el?írt jelz?fényként értelmezni, nem csökkentheti jelz?fények láthatóságát, illetve nem nehezítheti azok helyes felismerhet?ségét."		3
477	Milyen fontos el?írás vonatkozik az oldalfények elhelyezésére egy kishajón?	Csak azonos típusú és teljesítmény? világító test alkalmazható mindkét oldalon.	"Úgy kell ezeket takarni, hogy a zöld fény bal oldalról, a vörös fény jobb oldalról ne legyen látható."	"Úgy kell azokat elhelyezni, hogy ne legyenek azonos síkban, csak azonos magasságban."		2
478	Milyen alkalmazási el?írás vonatkozik világító berendezések és fényszórók használatára a Szabályzat alapján?	"Világító berendezések csak reklám céljára használhatók hajózási hatósági engedéllyel, míg a fényszóró használatára korlátozás nem vonatkozik."	"Csak a látási holttér bevilágítására alkalmas, legfeljebb 500 méter távolságot bevilágító fényszórót lehet alkalmazni."	"Tilos ezeket úgy használni, hogy az a hajózás vagy a szárazföldi közlekedés számára veszélyeztet? vagy zavaró vakítást okozzon!"		3
479	"Mit kell tenni, ha a Szabályzat, ha az el?írt jelz?fény nem m?ködik?"	"A hajót egyéb fényforrással kell megvilágítani, hogy a közeled? hajók észleljék jelenlétét."	Haladéktalanul tartalék jelz?fénnyel kell helyettesíteni és a meghibásodott jelz?fény kijavítását a lehet? legrövidebb id?n belül el kell végezni.	Azonnal meg kell szakítani a hajó útját a jelz?fény meghibásodásának elhárításáig.		2
480	"Lehet-e alkalmazni a Szabályzatban meghatározottaktól eltér? jelz?fényt, jelzést?"	"Igen, a hajó és a part közötti összeköttetésre, de csak úgy, hogy az ne legyen összetéveszthet? az el?írt jelz?fényekkel és jelzésekkel."	"Nem, a Szabályzatban meghatározottaktól eltér? jelz?fény, jelzés alkalmazása tilos!"	"Igen, de csak a hajók közötti összeütközés veszélyének elkerülése érdekében."		1
